Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"iPAS Day 01","04/28/2026","","04/28/2026","","True","Day 01 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-01-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-01-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 02","04/29/2026","","04/29/2026","","True","Day 02 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-02-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-02-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 03","04/30/2026","","04/30/2026","","True","Day 03 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-03-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-03-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 04","05/01/2026","","05/01/2026","","True","Day 04 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-04-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-04-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 05","05/02/2026","","05/02/2026","","True","Day 05 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-05-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-05-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 06","05/03/2026","","05/03/2026","","True","Day 06 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-06-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-06-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 07","05/04/2026","","05/04/2026","","True","Day 07 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-07-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-07-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 08","05/05/2026","","05/05/2026","","True","Day 08 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-08-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-08-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 09","05/06/2026","","05/06/2026","","True","Day 09 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-09-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-09-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 10","05/07/2026","","05/07/2026","","True","Day 10 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-10-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-10-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 11","05/08/2026","","05/08/2026","","True","Day 11 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-11-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-11-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 12","05/09/2026","","05/09/2026","","True","Day 12 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-12-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-12-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 13","05/10/2026","","05/10/2026","","True","Day 13 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-13-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-13-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 14","05/11/2026","","05/11/2026","","True","Day 14 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-14-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-14-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 15","05/12/2026","","05/12/2026","","True","Day 15 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-15-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-15-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 16","05/13/2026","","05/13/2026","","True","Day 16 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-16-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-16-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 17","05/14/2026","","05/14/2026","","True","Day 17 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-17-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-17-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 18","05/15/2026","","05/15/2026","","True","Day 18 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-18-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-18-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 19","05/16/2026","","05/16/2026","","True","Day 19 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-19-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-19-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 20","05/17/2026","","05/17/2026","","True","Day 20 links
Subject 1 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-20-subject-1.md
Subject 2 MD
https://github.com/reds1210/IpasAi/blob/main/daily/day-20-subject-2.md
Study Hub
https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
