Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"iPAS Day 01 - 科目1 + 科目2","2026-04-28","","2026-04-28","","True","Day 01 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-01-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-01-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 02 - 科目1 + 科目2","2026-04-29","","2026-04-29","","True","Day 02 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-02-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-02-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 03 - 科目1 + 科目2","2026-04-30","","2026-04-30","","True","Day 03 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-03-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-03-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 04 - 科目1 + 科目2","2026-05-01","","2026-05-01","","True","Day 04 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-04-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-04-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 05 - 科目1 + 科目2","2026-05-02","","2026-05-02","","True","Day 05 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-05-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-05-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 06 - 科目1 + 科目2","2026-05-03","","2026-05-03","","True","Day 06 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-06-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-06-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 07 - 科目1 + 科目2","2026-05-04","","2026-05-04","","True","Day 07 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-07-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-07-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 08 - 科目1 + 科目2","2026-05-05","","2026-05-05","","True","Day 08 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-08-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-08-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 09 - 科目1 + 科目2","2026-05-06","","2026-05-06","","True","Day 09 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-09-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-09-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 10 - 科目1 + 科目2","2026-05-07","","2026-05-07","","True","Day 10 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-10-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-10-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 11 - 科目1 + 科目2","2026-05-08","","2026-05-08","","True","Day 11 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-11-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-11-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 12 - 科目1 + 科目2","2026-05-09","","2026-05-09","","True","Day 12 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-12-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-12-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 13 - 科目1 + 科目2","2026-05-10","","2026-05-10","","True","Day 13 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-13-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-13-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 14 - 科目1 + 科目2","2026-05-11","","2026-05-11","","True","Day 14 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-14-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-14-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 15 - 科目1 + 科目2","2026-05-12","","2026-05-12","","True","Day 15 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-15-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-15-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 16 - 科目1 + 科目2","2026-05-13","","2026-05-13","","True","Day 16 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-16-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-16-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
"iPAS Day 17 - 科目1 + 科目2","2026-05-14","","2026-05-14","","True","Day 17 題單
科目 1: https://github.com/reds1210/IpasAi/blob/main/daily/day-17-subject-1.md
科目 2: https://github.com/reds1210/IpasAi/blob/main/daily/day-17-subject-2.md
Study Hub: https://github.com/reds1210/IpasAi/blob/main/study-hub.md","","False"
